game_date,team_name,player_name,bbc_player_id,goal_min,goal_min_inj,goal_type
2023-12-23,Tranmere Rovers,K. Morris,s-3gffyf2cg2ur4q1oobe8yoy51,55,,Goal
2023-12-23,Tranmere Rovers,T. Davies,s-9e5mebs52jf2y9omsjewv1sd1,72,,Goal
2023-12-23,Swindon Town,D. Kemp,s-54hsd4nx1g4dhdf34gy86415h,22,,Goal
2023-12-26,Salford City,M. Lund,s-8j69ysyyl60a6x2ofjdous7v9,55,,Goal
2023-12-26,Tranmere Rovers,H. Saunders,s-ax2mraa85fs9ihyhk7qnmm489,12,,Goal
2023-12-26,Tranmere Rovers,K. Morris,s-3gffyf2cg2ur4q1oobe8yoy51,35,,Goal
2023-12-26,Tranmere Rovers,C. Jennings,s-7xr6yeu0yevkshdqj9acwmrit,50,,Goal
2023-12-26,Tranmere Rovers,R. Hendry,s-693vankfkq50hufuwcz7hu8r9,64,,Goal
2023-12-26,Tranmere Rovers,J. Hawkes,s-dfm4vwns596gts9uebkw3eh2h,90,3,Goal
2023-12-29,Tranmere Rovers,C. Jolley,s-jb2xbmpxxp22jukttbvgxb3e,54,,Goal
2023-12-29,Tranmere Rovers,T. Davies,s-9e5mebs52jf2y9omsjewv1sd1,70,,Goal
2024-01-01,Tranmere Rovers,K. Morris,s-3gffyf2cg2ur4q1oobe8yoy51,5,,Goal
2024-01-01,Tranmere Rovers,C. Jennings,s-7xr6yeu0yevkshdqj9acwmrit,44,,Goal
2024-01-01,Tranmere Rovers,C. Jennings,s-7xr6yeu0yevkshdqj9acwmrit,90,3,Penalty
2024-01-01,Tranmere Rovers,H. Saunders,s-ax2mraa85fs9ihyhk7qnmm489,56,,Goal
2024-01-01,Notts County,A. Nemane,s-604ryg4jk82swmxnj9e40cxjp,24,,Goal
2024-01-01,Notts County,M. Langstaff,s-abtmu970lml2twcop8ydjlb3e,29,,Goal
2024-01-06,Barrow,D. Campbell,s-xrsjebr9vtuzq0hg7dd8ysix,80,,Goal
2024-01-13,Tranmere Rovers,K. Morris,s-3gffyf2cg2ur4q1oobe8yoy51,12,,Goal
2024-01-13,Milton Keynes Dons,A. Gilbey,s-2fgf3oosclntmh6l3erwnkpg5,9,,Goal
2024-01-13,Milton Keynes Dons,E. Harrison,s-bojsqjfaoi810xuyz0qeqs0r9,90,6,Goal
2024-01-27,Grimsby Town,D. Tharme,s-74x5iaolqfr7r3on2uuriooyy,39,,Goal
2024-01-27,Tranmere Rovers,R. Apter,s-8wnfkmvldy46l2i068v20onpw,35,,Goal
2024-01-27,Tranmere Rovers,T. Mullarkey,s-7pif8nss1vlf304gfrzf5i9d5,54,,Own Goal
2024-02-10,Doncaster Rovers,J. Ironside,s-aral6zvx8qxkfqkqwb7ldfk5x,15,,Goal
2024-02-10,Doncaster Rovers,H. Adelakun,s-dtpg00pvkjp85a7mflgcaq7yt,64,,Goal
2024-02-10,Tranmere Rovers,J. Hawkes,s-dfm4vwns596gts9uebkw3eh2h,60,,Goal
2024-02-13,Tranmere Rovers,R. Apter,s-8wnfkmvldy46l2i068v20onpw,4,,Goal
2024-02-13,Tranmere Rovers,C. Jennings,s-7xr6yeu0yevkshdqj9acwmrit,10,,Penalty
2024-02-13,Morecambe,C. Brown,s-ea28jq8w3nc9koizvgffy5a7d,14,,Goal
2024-02-13,Morecambe,J. Slew,s-97e229uxoheny3sz3c29s0jx1,82,,Goal
2024-02-13,Morecambe,J. Davenport,s-5pshrpttu61ita4x91q6t2fop,90,5,Goal
2024-02-17,Tranmere Rovers,T. Davies,s-9e5mebs52jf2y9omsjewv1sd1,30,,Goal
2024-02-17,Tranmere Rovers,J. Turnbull,s-4bvc6p797egcje5vf8qbdl4ut,55,,Goal
2024-02-17,Tranmere Rovers,J. Turnbull,s-4bvc6p797egcje5vf8qbdl4ut,63,,Goal
2024-02-17,Tranmere Rovers,C. Jennings,s-7xr6yeu0yevkshdqj9acwmrit,85,,Goal
2024-02-24,Forest Green Rovers,C. McCann,s-1pvtzz67xdo2wonyds33h9iei,45,1,Goal
2024-01-20,Swindon Town,S. McGurk,s-3v0vuarhz37qeatbfnsakbcyy,23,,Goal
2024-01-20,Swindon Town,R. Hepburn-Murphy,s-eexhf8ypox678srcdjax94xrd,35,,Goal
2024-01-20,Swindon Town,R. Hepburn-Murphy,s-eexhf8ypox678srcdjax94xrd,64,,Goal
2024-01-20,Tranmere Rovers,R. Apter,s-8wnfkmvldy46l2i068v20onpw,25,,Goal
2024-03-02,Tranmere Rovers,R. Apter,s-8wnfkmvldy46l2i068v20onpw,87,,Goal
2024-03-09,Gillingham,C. Masterson,s-dtas76j79kkdoxp7nrr2iywut,84,,Goal
2024-03-09,Tranmere Rovers,R. Hendry,s-693vankfkq50hufuwcz7hu8r9,4,,Goal
2024-03-12,Tranmere Rovers,R. Hendry,s-693vankfkq50hufuwcz7hu8r9,12,,Goal
2024-03-12,Tranmere Rovers,R. Apter,s-8wnfkmvldy46l2i068v20onpw,56,,Goal
2024-03-12,Mansfield Town,W. Swan,s-d4t4cmj2j1jvr89yp68x80k8a,39,,Goal
2024-03-16,Tranmere Rovers,L. Norris,s-6jp4b6snq2bwki0oxkafbxck5,8,,Goal
2024-03-23,Tranmere Rovers,L. Norris,s-6jp4b6snq2bwki0oxkafbxck5,21,,Goal
2024-03-23,Crawley Town,J. Kelly,s-41q6pdxfwazvyir9753iryr55,2,,Goal
2024-03-23,Crawley Town,J. Williams,s-7to4s1ir298kwoi8kjlpa33hm,10,,Goal
2024-03-23,Crawley Town,D. Orsi,s-csw6i5ceobus79rw3y5uaczu2,79,,Goal
2024-03-29,Bradford City,C. Kavanagh,s-1bivsk6runns22891knqiihd6,64,,Goal
2024-03-29,Bradford City,B. Pointon,s-8grq841ev5y5dk24ta007qiac,69,,Goal
2024-04-01,Tranmere Rovers,K. Morris,s-3gffyf2cg2ur4q1oobe8yoy51,7,,Goal
2024-04-01,Colchester United,A. Smith,s-3nrbdve6kvppxurxxqaggzazu,8,,Goal
2024-04-06,Tranmere Rovers,R. Hendry,s-693vankfkq50hufuwcz7hu8r9,24,,Goal
2024-04-06,Walsall,J. Matt,s-8rjkn8s6e4s60167zdyukj9w5,45,2,Goal
2024-04-06,Walsall,T. Allen,s-a1hmf9mad1kpa0xbsvwtzplyi,57,,Goal
2024-04-06,Walsall,B. Comley,s-9k3e6mofpjtwmse223ortw6ax,68,,Goal
2024-04-13,Newport County,W. Evans,s-67560ygttzudacg4u534d24mh,20,,Goal
2024-04-13,Tranmere Rovers,R. Apter,s-8wnfkmvldy46l2i068v20onpw,25,,Goal
2024-04-13,Tranmere Rovers,R. Apter,s-8wnfkmvldy46l2i068v20onpw,36,,Goal
2024-04-20,Tranmere Rovers,H. Saunders,s-ax2mraa85fs9ihyhk7qnmm489,35,,Goal
2024-04-20,Tranmere Rovers,R. Apter,s-8wnfkmvldy46l2i068v20onpw,45,,Goal
2024-04-20,Tranmere Rovers,C. Jennings,s-7xr6yeu0yevkshdqj9acwmrit,71,,Goal
2024-04-20,AFC Wimbledon,J. Kelly,s-cvu08314z4o4mehylkjlpr5d5,56,,Goal
2024-04-20,AFC Wimbledon,J. Kelly,s-cvu08314z4o4mehylkjlpr5d5,90,5,Goal
2024-04-27,Accrington Stanley,L. Shipley,s-axdbcl5k3qbzarwlx315bj5nu,4,,Goal
2024-04-27,Accrington Stanley,J. Nolan,s-1vigb3e3dsxufbtvt4ed48e09,51,,Penalty
2024-04-27,Accrington Stanley,J. Nolan,s-1vigb3e3dsxufbtvt4ed48e09,82,,Penalty
2024-04-27,Accrington Stanley,A. Henderson,s-vkag8cx29v1b5wetozm6rp5g,53,,Goal
2024-04-27,Tranmere Rovers,L. Norris,s-6jp4b6snq2bwki0oxkafbxck5,2,,Goal
2024-08-13,Tranmere Rovers,H. Saunders,s-ax2mraa85fs9ihyhk7qnmm489,3,,Goal
2024-08-13,Tranmere Rovers,J. Williams,s-9et0d2wlllylnwyu1xglgb8yc,45,,Goal
2024-08-13,Tranmere Rovers,O. Patrick,s-4k6nbdla5or3o2bdgfal2c355,71,,Goal
2024-08-20,Tranmere Rovers,J. Davison,s-84qumtphadlmwu0bikkii936y,11,,Goal
2024-08-20,Everton U21,Beto,s-6z3a27dxffwacyxof0imvcfvu,86,,Goal
2024-08-20,Everton U21,Beto,s-6z3a27dxffwacyxof0imvcfvu,90,2,Goal
2024-08-20,Everton U21,M. Sherif,s-ctkaewk31pti1oq8upskojh90,90,5,Goal
2024-08-24,Tranmere Rovers,O. Patrick,s-4k6nbdla5or3o2bdgfal2c355,13,,Goal
2024-08-27,Leicester City,J. Ayew,s-9c927a1i8iqblent14xat7aad,38,,Goal
2024-08-27,Leicester City,S. Mavididi,s-71bl8lyjtmzn8ebwulcjnmu39,51,,Penalty
2024-08-27,Leicester City,W. Ndidi,s-6tma6gvgf6xphc5gm2el35vbp,71,,Goal
2024-08-27,Leicester City,H. Winks,s-5qfa3h4gut5jlnfkexq5m1djp,90,,Goal
2024-08-31,Carlisle United,A. Davies,s-1p9unc7g5uz82huxyzfok1h49,7,,Goal
2024-08-31,Tranmere Rovers,O. Patrick,s-4k6nbdla5or3o2bdgfal2c355,6,,Goal
2024-08-31,Tranmere Rovers,O. Patrick,s-4k6nbdla5or3o2bdgfal2c355,37,,Goal
2024-09-14,Gillingham,A. Little,s-ekcfj2t6pzdz36uzpw9q6c7vt,48,,Goal
2024-09-14,Gillingham,J. Clarke,s-2zl9idnu0za8us0trstebmkus,82,,Goal
2024-09-14,Gillingham,J. Clarke,s-2zl9idnu0za8us0trstebmkus,89,,Goal
2024-09-21,Colchester United,L. Taylor,s-6u0e93rc0hv1mc7ch7tfij85,7,,Goal
2024-09-21,Colchester United,L. Taylor,s-6u0e93rc0hv1mc7ch7tfij85,38,,Goal
2024-09-21,Colchester United,S. Tovide,s-eqgw04p9gi6j7nlkaih57kil0,78,,Goal
