game_date,surname,forename,name,role
2021-12-04,Oldham,James,James Oldham,Referee
2021-12-04,Maskell,Garry,Garry Maskell,Assistant referee 1
2021-12-04,Whitaker,Ryan,Ryan Whitaker,Assistant referee 2
2021-12-04,Stokes,Joseph,Joseph Stokes,Fourth official
2021-12-07,Haines,Andy,Andy Haines,Referee
2021-12-07,Clayton,Simon,Simon Clayton,Assistant referee 1
2021-12-07,Raper,Lewis,Lewis Raper,Assistant referee 2
2021-12-07,Parry,Matthew,Matthew Parry,Fourth official
2021-12-11,Madley,Robert,Robert Madley,Referee
2021-12-11,Ricketts,Adam,Adam Ricketts,Assistant referee 1
2021-12-11,Dabbs,Robert,Robert Dabbs,Assistant referee 2
2021-12-11,Lamport,Daniel,Daniel Lamport,Fourth official
2021-12-18,Howard,Paul,Paul Howard,Referee
2021-12-18,Graham,Paul,Paul Graham,Assistant referee 1
2021-12-18,Simpson,Joe,Joe Simpson,Assistant referee 2
2021-12-18,Brown,Conor,Conor Brown,Fourth official
2021-12-21,Barrott,Samuel,Samuel Barrott,Referee
2021-12-21,Rushton,Steven,Steven Rushton,Assistant referee 1
2021-12-21,Hendley,Andy,Andy Hendley,Assistant referee 2
2021-12-21,Handley,Darren,Darren Handley,Fourth official
2021-12-26,Oldham,Scott,Scott Oldham,Referee
2021-12-26,Smedley,Ian,Ian Smedley,Assistant referee 1
2021-12-26,Smallwood,Billy,Billy Smallwood,Assistant referee 2
2021-12-26,Stonier,Paul,Paul Stonier,Fourth official
2022-01-08,Pollard,Christopher,Christopher Pollard,Referee
2022-01-08,Jones,Mark,Mark Jones,Assistant referee 1
2022-01-08,Harty,Thomas,Thomas Harty,Assistant referee 2
2022-01-08,Freeman,Lee,Lee Freeman,Fourth official
2022-01-11,Joyce,Ross,Ross Joyce,Referee
2022-01-11,Wigglesworth,Richard,Richard Wigglesworth,Assistant referee 1
2022-01-11,Woodward,Richard,Richard Woodward,Assistant referee 2
2022-01-11,Toner,Ben,Ben Toner,Fourth official
2022-01-15,Toner,Ben,Ben Toner,Referee
2022-01-15,Clark,Joe,Joe Clark,Assistant referee 1
2022-01-15,Aspinall,Natalie,Natalie Aspinall,Assistant referee 2
2022-01-15,Hilton,Gary,Gary Hilton,Fourth official
2022-01-22,Mather,Simon,Simon Mather,Referee
2022-01-22,Bonneywell,Daniel,Daniel Bonneywell,Assistant referee 1
2022-01-22,Yates,Paul,Paul Yates,Assistant referee 2
2022-01-22,Cook,Daniel,Daniel Cook,Fourth official
2022-01-29,Swabey,Lee,Lee Swabey,Referee
2022-01-29,Clayton,Alan,Alan Clayton,Assistant referee 1
2022-01-29,Moore,Anthony,Anthony Moore,Assistant referee 2
2022-01-29,Stockbridge,Seb,Seb Stockbridge,Fourth official
2022-02-01,Backhouse,Anthony,Anthony Backhouse,Referee
2022-02-01,Williams,Ollie,Ollie Williams,Assistant referee 1
